CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
7/19/24,22:08,MANHATTAN,10006,40.710064,-74.013695,"(40.710064, -74.013695)",CEDAR STREET,WASHINGTON STREET,,1,0,1,0,0,0,0,0,Backing Unsafely,,,,,4743198,,,,,
7/25/24,18:25,Missing,,,,,ARDEN AVENUE,DOVER GREEN,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4743217,Sedan,Sedan,,,
8/24/24,14:55,Missing,,,,,VERMONT PLACE,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,4750456,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
8/24/24,20:00,Missing,,,,,FULTON STREET,,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,4750431,Sedan,Motorcycle,,,
7/26/24,4:40,Missing,,,,,GOWANUS RAMP,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4743232,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
8/24/24,2:25,Missing,,40.840496,-73.94599,"(40.840496, -73.94599)",HENRY HUDSON PARKWAY,,,4,2,0,0,0,0,4,2,Passing or Lane Usage Improper,Unspecified,Unspecified,Unspecified,,4750210,Pick-up Truck,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,
8/24/24,20:53,Missing,,,,,WEST 125 STREET,,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,4750292,Station Wagon/Sport Utility Vehicle,Bike,,,
8/14/24,13:10,Missing,,,,,BROOKLYN BATTERY TUNNEL,,,2,0,0,0,0,0,2,0,Unsafe Lane Changing,Unspecified,,,,4750787,Station Wagon/Sport Utility Vehicle,Sedan,,,
8/24/24,13:57,Missing,,40.879196,-73.817566,"(40.879196, -73.817566)",HUTCHINSON RIVER PARKWAY,,,0,0,0,0,0,0,0,0,Driver Inexperience,Unsafe Lane Changing,,,,4750766,Station Wagon/Sport Utility Vehicle,Sedan,,,
8/24/24,22:00,Missing,,40.60413,-74.02015,"(40.60413, -74.02015)",BELT PARKWAY,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4750615,Sedan,,,,
